species_id,name,taxa,scientificname,species_url,commonname,redlist,family,family_common,taxonomic_level,sequenceid,genus,created_at
36cfda77-172b-453c-823b-d59bc24ce8da,Mastigodryas pleii,reptiles,Mastigodryas pleii,NULL,,NULL,,,species,NULL,Mastigodryas,2024-01-31 16:46:00.692574+00
75f17031-dad7-4ff5-b602-6a0e098fb7d6,Imantodes,reptiles,,,,,,NULL,genus,NULL,Imantodes,2024-01-24 17:18:54.447684+00
1da219bf-64b3-47d6-afbc-d7bf13132d36,Hydrops triangularis,reptiles,Hydrops triangularis,NULL,NULL,NULL,,NULL,species,NULL,Hydrops,2024-01-24 17:18:54.447684+00
f62db23d-e95b-4b2f-be90-0f64f90fc2cf,Chelonoidis,reptiles,,NULL,,NULL,,,genus,NULL,Chelonoidis,2024-01-31 16:46:00.692574+00
c276ec05-a884-4bde-a335-f982f0559a68,Ameiva atrigularis,reptiles,Ameiva atrigularis,NULL,NULL,NULL,,NULL,species,NULL,Ameiva,2024-01-24 17:18:54.447684+00
b5267158-b2e6-485b-b0f9-8ff8a810890f,Xenodon severus,reptiles,Xenodon severus,NULL,NULL,NULL,,NULL,species,NULL,Xenodon,2024-01-24 17:18:54.447684+00
26fbcd7e-0dab-4cb8-a146-e5534014d98d,Xenodon,reptiles,,,,,,NULL,genus,NULL,Xenodon,2024-01-24 17:18:54.447684+00
fd28eec4-78af-4f39-b54e-3ffd3127cf15,Arthrosaura reticulata,reptiles,Arthrosaura reticulata,NULL,NULL,NULL,,NULL,species,NULL,Arthrosaura,2024-01-24 17:18:54.447684+00
6dc459ca-821e-4e69-9715-0712515457d9,Spilotes pullatus,reptiles,Spilotes pullatus,NULL,NULL,NULL,,NULL,species,NULL,Spilotes,2024-01-24 17:18:54.447684+00
f33d30e2-0e31-474c-93e8-5f0bded830e1,Spilotes,reptiles,,,,,,NULL,genus,NULL,Spilotes,2024-01-24 17:18:54.447684+00
960d28b3-1f3c-4ae1-86ff-e05fabc86721,Micrurus,reptiles,,,,,,NULL,genus,NULL,Micrurus,2024-01-24 17:18:54.447684+00
8bf97b59-2487-4a91-8431-fb74179564bf,Siphlophis,reptiles,,,,,,NULL,genus,NULL,Siphlophis,2024-01-24 17:18:54.447684+00
6afbe263-3c4c-4a99-8243-3852060a2b87,Cercosaura,reptiles,,,,,,NULL,genus,NULL,Cercosaura,2024-01-24 17:18:54.447684+00
9c386297-4a88-4a88-a6e9-9c39e4fb1593,Caiman crocodilus,reptiles,Caiman crocodilus,NULL,NULL,NULL,,NULL,species,NULL,Caiman,2024-01-24 17:18:54.447684+00
b3c355df-1547-48ef-9d95-b6d2ec671b50,Lachesis muta,reptiles,Lachesis muta,NULL,NULL,NULL,,NULL,species,NULL,Lachesis,2024-01-24 17:18:54.447684+00
3dac4930-20bf-4692-8c0f-35ab1c09d3f6,Gonatodes,reptiles,,,,,,NULL,genus,NULL,Gonatodes,2024-01-24 17:18:54.447684+00
ad8860eb-f1e0-440a-910c-608629920478,Peltocephalus,reptiles,,,,,,NULL,genus,NULL,Peltocephalus,2024-01-24 17:18:54.447684+00
21257cab-c417-42f3-bf9f-9ea681de1767,Bothrops brazili,reptiles,Bothrops brazili,NULL,NULL,NULL,,NULL,species,NULL,Bothrops,2024-01-24 17:18:54.447684+00
29d7aeba-a4b1-44de-af10-0242c05e6c78,Ameiva praesignis,reptiles,Ameiva praesignis,NULL,NULL,NULL,,NULL,species,NULL,Ameiva,2024-01-24 17:18:54.447684+00
32e23be9-ae21-419f-975b-ddb0a7668583,Atractus latifrons,reptiles,Atractus latifrons,NULL,NULL,NULL,,NULL,species,NULL,Atractus,2024-01-24 17:18:54.447684+00
4b8b0530-90f9-41fb-9fe2-c72b126c1f04,Cercosaura argulus,reptiles,Cercosaura argulus,NULL,NULL,NULL,,NULL,species,NULL,Cercosaura,2024-01-24 17:18:54.447684+00
b2ce447b-6ea4-48af-87ec-f06f3586af12,Plica,reptiles,,,,,,NULL,genus,NULL,Plica,2024-01-24 17:18:54.447684+00
dae1faeb-0b79-4ba9-9422-47286c4d4fc1,Cercosaura bassleri,reptiles,Cercosaura bassleri,NULL,NULL,NULL,,NULL,species,NULL,Cercosaura,2024-01-24 17:18:54.447684+00
c3faf209-6e51-4ba2-a3d8-82788925c64d,Podocnemis sextuberculata,reptiles,Podocnemis sextuberculata,NULL,NULL,NULL,,NULL,species,NULL,Podocnemis,2024-01-24 17:18:54.447684+00
1be90d3e-57a7-414f-afc1-3a22d84a49f3,Tropidurus,reptiles,,,,,,NULL,genus,NULL,Tropidurus,2024-01-24 17:18:54.447684+00
92265dcf-248c-4273-9365-f1bef943bcf4,Amphisbaena fuliginosa,reptiles,Amphisbaena fuliginosa,NULL,NULL,NULL,,NULL,species,NULL,Amphisbaena,2024-01-24 17:18:54.447684+00
d2c70e87-53d6-4551-a7d7-b342f485549c,Rhinemys,reptiles,,,,,,NULL,genus,NULL,Rhinemys,2024-01-24 17:18:54.447684+00
b8584da2-d29f-4e9b-a16a-0b32db98943a,Bachia panoplia,reptiles,Bachia panoplia,NULL,,NULL,,,species,NULL,Bachia,2024-01-31 16:46:00.692574+00
2955442e-70fa-4003-906c-9717541618ed,Hemidactylus mabouia,reptiles,Hemidactylus mabouia,NULL,Moreau's Tropical House Gecko,NULL,,,species,NULL,Hemidactylus,2024-01-31 16:46:00.692574+00
3be5ad9b-5dcf-4ed1-a1cd-6f542cf0f143,Mastigodryas,reptiles,,,,,,NULL,genus,NULL,Mastigodryas,2024-01-24 17:18:54.447684+00
64a2177e-cfe7-4b95-898a-6d8d8085a09a,Tropidurus torquatus,reptiles,Tropidurus torquatus,NULL,Amazon Lava Lizard,NULL,,,species,NULL,Tropidurus,2024-01-31 16:46:00.692574+00
053854b9-90b6-4b11-aeb8-06ddf8c206e0,Anolis scypheus,reptiles,Anolis scypheus,NULL,NULL,NULL,,NULL,species,NULL,Anolis,2024-01-24 17:18:54.447684+00
