species_id,name,taxa,scientificname,species_url,commonname,redlist,family,family_common,taxonomic_level,sequenceid,genus,created_at
c92797c4-3788-4893-a362-d1451f53d135,Mazama,mammals,,NULL,,NULL,,,genus,NULL,Mazama,2024-01-31 16:46:00.692574+00
31be8079-c696-468e-bb54-68ffad902b50,Micronycteris,mammals,,,,,,NULL,genus,NULL,Micronycteris,2024-01-24 17:18:54.447684+00
a1246f0a-e5be-4eaf-8f3f-a91cf8faa8e7,Eira,mammals,,NULL,,NULL,,,genus,NULL,Eira,2024-01-31 16:46:00.692574+00
a9af9401-2264-4bc6-93dd-55e192af5068,Trichechus,mammals,,NULL,,NULL,,,genus,NULL,Trichechus,2024-01-31 16:46:00.692574+00
16ee91d4-5ae8-4256-bb36-c2f0af47efb8,Rhogeessa,mammals,,NULL,,NULL,,,genus,NULL,Rhogeessa,2024-01-31 16:46:00.692574+00
e0a29b61-6305-4396-a440-f2c7d36b3da8,Atelocynus,mammals,,NULL,,NULL,,,genus,NULL,Atelocynus,2024-01-31 16:46:00.692574+00
3cf71e6b-cd06-4ca7-9b16-c0be5390ccc3,Eumops hansae,mammals,Eumops hansae,NULL,Sanborn's Bonneted Bat,NULL,,,species,NULL,Eumops,2024-01-31 16:46:00.692574+00
bfcc8584-310d-404a-be67-cf9fc309abb1,Priodontes maximus,mammals,Priodontes maximus,NULL,NULL,NULL,,NULL,species,NULL,Priodontes,2024-01-24 17:18:54.447684+00
b4ad99ff-1d85-4bc3-b3b1-8fbc6c39a9c5,Mesophylla macconnelli,mammals,Mesophylla macconnelli,NULL,NULL,NULL,,NULL,species,NULL,Mesophylla,2024-01-24 17:18:54.447684+00
db031509-7c99-4ec4-84cc-21958e90c71f,Echimys,mammals,,NULL,,NULL,,,genus,NULL,Echimys,2024-01-31 16:46:00.692574+00
b4ac4f3a-0532-45be-bbe3-707d42b4768c,Chiropotes,mammals,,,,,,NULL,genus,NULL,Chiropotes,2024-01-24 17:18:54.447684+00
8855d361-ebb7-4829-832b-e02a7ce2426b,Artibeus lituratus,mammals,Artibeus lituratus,NULL,NULL,NULL,,NULL,species,NULL,Artibeus,2024-01-24 17:18:54.447684+00
c190d232-9690-49f6-bb54-ab457fd76b9b,Lonchophylla thomasi,mammals,Lonchophylla thomasi,NULL,Thomas's Nectar Bat,NULL,,,species,NULL,Lonchophylla,2024-01-31 16:46:00.692574+00
4b886eae-e579-4e3d-88cd-c40d5843902a,Myotis riparius,mammals,Myotis riparius,NULL,NULL,NULL,,NULL,species,NULL,Myotis,2024-01-24 17:18:54.447684+00
c6a6a108-a408-405a-84ed-b9553571c3e3,Leopardus tigrinus,mammals,Leopardus tigrinus,NULL,Little Spotted Cat,NULL,,,species,NULL,Leopardus,2024-01-31 16:46:00.692574+00
a4096e5d-378b-4a2c-8823-de012d2d8bc1,Pecari tajacu,mammals,Pecari tajacu,NULL,Collared Peccary,NULL,,,species,NULL,Pecari,2024-01-31 16:46:00.692574+00
