name,taxa,scientificname,genus,family,taxonomic_level
Pouteria laevigata,plants,Pouteria laevigata,Pouteria,Sapotaceae,species
Persea areolatocostae,plants,Persea areolatocostae,Persea,Lauraceae,species
Sparattanthelium amazonum,plants,Sparattanthelium amazonum,Sparattanthelium,Hernandiaceae,species
Hymenopus reticulatus,plants,Hymenopus reticulatus,Hymenopus,Chrysobalanaceae,species
Ficus,plants,,Ficus,Moraceae,genus
Coussarea hirticalyx,plants,Coussarea hirticalyx,Coussarea,Rubiaceae,species
Becquerelia,plants,,Becquerelia,Cyperaceae,genus
Simarouba,plants,,Simarouba,Simaroubaceae,genus
Leptobalanus apetalus,plants,Leptobalanus apetalus,Leptobalanus,Chrysobalanaceae,species
Annonaceae,plants,,,Annonaceae,family
Aniba williamsii,plants,Aniba williamsii,Aniba,Lauraceae,species
Cecropia purpurascens,plants,Cecropia purpurascens,Cecropia,Urticaceae,species
Iryanthera,plants,,Iryanthera,Myristicaceae,genus
Virola caducifolia,plants,Virola caducifolia,Virola,Myristicaceae,species
Tapura guianensis,plants,Tapura guianensis,Tapura,Dichapetalaceae,species
Tillandsia,plants,,Tillandsia,Bromeliaceae,genus
Myrcia bracteata,plants,Myrcia bracteata,Myrcia,Myrtaceae,species
Macrolobium angustifolium,plants,Macrolobium angustifolium,Macrolobium,Fabaceae,species
Cecropia distachya,plants,Cecropia distachya,Cecropia,Urticaceae,species
Casearia duckeana,plants,Casearia duckeana,Casearia,Salicaceae,species
Piper vicosanum,plants,Piper vicosanum,Piper,Piperaceae,species
Iryanthera laevis,plants,Iryanthera laevis,Iryanthera,Myristicaceae,species
Orthoclada,plants,,Orthoclada,Poaceae,genus
Miconia pyrifolia,plants,Miconia pyrifolia,Miconia,Melastomataceae,species
Ceiba speciosa,plants,Ceiba speciosa,Ceiba,Malvaceae,species
Abuta candollei,plants,Abuta candollei,Abuta,Menispermaceae,species
Adenocalymma neoflavidum,plants,Adenocalymma neoflavidum,Adenocalymma,Bignoniaceae,species
Microgramma reptans,plants,Microgramma reptans,Microgramma,Polypodiaceae,species
Macrolobium suaveolens,plants,Macrolobium suaveolens,Macrolobium,Fabaceae,species
Sloanea garckeana,plants,Sloanea garckeana,Sloanea,Elaeocarpaceae,species
Leonia glycycarpa,plants,Leonia glycycarpa,Leonia,Violaceae,species
Calathea,plants,,Calathea,Marantaceae,genus
Pourouma tomentosa,plants,Pourouma tomentosa,Pourouma,Urticaceae,species
Iryanthera tricornis,plants,Iryanthera tricornis,Iryanthera,Myristicaceae,species
Vochysia grandis,plants,Vochysia grandis,Vochysia,Vochysiaceae,species
Scleria cyperina,plants,Scleria cyperina,Scleria,Cyperaceae,species
Piparea,plants,,Piparea,Salicaceae,genus
Microgramma percussa,plants,Microgramma percussa,Microgramma,Polypodiaceae,species
Bactris constanciae,plants,Bactris constanciae,Bactris,Arecaceae,species
Unonopsis,plants,,Unonopsis,Annonaceae,genus
Lauraceae,plants,,,Lauraceae,family
Lemna aequinoctialis,plants,Lemna aequinoctialis,Lemna,Araceae,species
Licania lanceolata,plants,Licania lanceolata,Licania,Chrysobalanaceae,species
Brosimum rubescens,plants,Brosimum rubescens,Brosimum,Moraceae,species
Monodactylopsis,plants,,Monodactylopsis,Lepidoziaceae,genus
Guarea silvatica,plants,Guarea silvatica,Guarea,Meliaceae,species
Digitaria,plants,,Digitaria,Poaceae,genus
Terminalia macrophylla,plants,Terminalia macrophylla,Terminalia,Combretaceae,species
Inga gracilifolia,plants,Inga gracilifolia,Inga,Fabaceae,species
Picramnia magnifolia,plants,Picramnia magnifolia,Picramnia,Picramniaceae,species
Calycobolus,plants,,Calycobolus,Convolvulaceae,genus
Maxillaria petiolaris,plants,Maxillaria petiolaris,Maxillaria,Orchidaceae,species
Plagiochilaceae,plants,,,Plagiochilaceae,family
Palicourea justiciifolia,plants,Palicourea justiciifolia,Palicourea,Rubiaceae,species
Sagotia brachysepala,plants,Sagotia brachysepala,Sagotia,Euphorbiaceae,species
Abuta imene,plants,Abuta imene,Abuta,Menispermaceae,species
Humiriaceae,plants,,,Humiriaceae,family
Mabea fistulifera,plants,Mabea fistulifera,Mabea,Euphorbiaceae,species
Anacardium spruceanum,plants,Anacardium spruceanum,Anacardium,Anacardiaceae,species
Guarea,plants,,Guarea,Meliaceae,genus
Rhinostigma,plants,,Rhinostigma,Clusiaceae,genus
Picramniaceae,plants,,,Picramniaceae,family
Aspleniaceae,plants,,,Aspleniaceae,family
Asystasia gangetica,plants,Asystasia gangetica,Asystasia,Acanthaceae,species
Oenocarpus distichus,plants,Oenocarpus distichus,Oenocarpus,Arecaceae,species
Maxillaria parviflora,plants,Maxillaria parviflora,Maxillaria,Orchidaceae,species
Calliandra,plants,,Calliandra,Fabaceae,genus
Campyloneurum fuscosquamatum,plants,Campyloneurum fuscosquamatum,Campyloneurum,Polypodiaceae,species
Lantana cujabensis,plants,Lantana cujabensis,Lantana,Verbenaceae,species
Helicostylis tomentosa,plants,Helicostylis tomentosa,Helicostylis,Moraceae,species
Catostemma,plants,,Catostemma,Malvaceae,genus
Byrsonima,plants,,Byrsonima,Malpighiaceae,genus
Eugenia flavescens,plants,Eugenia flavescens,Eugenia,Myrtaceae,species
Ceratophyllum muricatum,plants,Ceratophyllum muricatum,Ceratophyllum,Ceratophyllaceae,species
Hecistopteris,plants,,Hecistopteris,Pteridaceae,genus
Schnella pterocalyx,plants,Schnella pterocalyx,Schnella,Fabaceae,species
Pouteria platyphylla,plants,Pouteria platyphylla,Pouteria,Sapotaceae,species
Coffea arabica,plants,Coffea arabica,Coffea,Rubiaceae,species
Linaceae,plants,,,Linaceae,family
Pitcairnia sprucei,plants,Pitcairnia sprucei,Pitcairnia,Bromeliaceae,species
Mesosetum rottboellioides,plants,Mesosetum rottboellioides,Mesosetum,Poaceae,species
Cybianthus reticulatus,plants,Cybianthus reticulatus,Cybianthus,Primulaceae,species
Aciotis indecora,plants,Aciotis indecora,Aciotis,Melastomataceae,species
Peperomia,plants,,Peperomia,Piperaceae,genus
Ilex,plants,,Ilex,Aquifoliaceae,genus
Dicymbe puncticulosa,plants,Dicymbe puncticulosa,Dicymbe,Fabaceae,species
Pseudoconnarus macrophyllus,plants,Pseudoconnarus macrophyllus,Pseudoconnarus,Connaraceae,species
Pterocarpus amazonum,plants,Pterocarpus amazonum,Pterocarpus,Fabaceae,species
Lacistema grandifolium,plants,Lacistema grandifolium,Lacistema,Lacistemataceae,species
Clusia spathulifolia,plants,Clusia spathulifolia,Clusia,Clusiaceae,species
Machaerium inundatum,plants,Machaerium inundatum,Machaerium,Fabaceae,species
Macrolobium gracile,plants,Macrolobium gracile,Macrolobium,Fabaceae,species
Costus scaber,plants,Costus scaber,Costus,Costaceae,species
Ipomoea tiliacea,plants,Ipomoea tiliacea,Ipomoea,Convolvulaceae,species
Piper obliquum,plants,Piper obliquum,Piper,Piperaceae,species
Sematophyllum subsimplex,plants,Sematophyllum subsimplex,Sematophyllum,Sematophyllaceae,species
Euphorbia terracina,plants,Euphorbia terracina,Euphorbia,Euphorbiaceae,species
Anaxagorea phaeocarpa,plants,Anaxagorea phaeocarpa,Anaxagorea,Annonaceae,species
Cyclodium guianense,plants,Cyclodium guianense,Cyclodium,Dryopteridaceae,species
Xiphidium,plants,,Xiphidium,Haemodoraceae,genus
Pyrostegia,plants,,Pyrostegia,Bignoniaceae,genus
Virola venosa,plants,Virola venosa,Virola,Myristicaceae,species
Trattinnickia glaziovii,plants,Trattinnickia glaziovii,Trattinnickia,Burseraceae,species
Piper curtistilum,plants,Piper curtistilum,Piper,Piperaceae,species
Palicourea quadrifolia,plants,Palicourea quadrifolia,Palicourea,Rubiaceae,species
Hypolytrum schraderianum,plants,Hypolytrum schraderianum,Hypolytrum,Cyperaceae,species
Saxofridericia aculeata,plants,Saxofridericia aculeata,Saxofridericia,Rapateaceae,species
Vitaceae,plants,,,Vitaceae,family
Elaeoluma,plants,,Elaeoluma,Sapotaceae,genus
Taralea,plants,,Taralea,Fabaceae,genus
Adiantum latifolium,plants,Adiantum latifolium,Adiantum,Pteridaceae,species
Odontolejeunea,plants,,Odontolejeunea,Lejeuneaceae,genus
Trichilia schomburgkii,plants,Trichilia schomburgkii,Trichilia,Meliaceae,species
Anthurium bonplandii,plants,Anthurium bonplandii,Anthurium,Araceae,species
Passiflora edulis,plants,Passiflora edulis,Passiflora,Passifloraceae,species
Microgramma persicariifolia,plants,Microgramma persicariifolia,Microgramma,Polypodiaceae,species
Passiflora misera,plants,Passiflora misera,Passiflora,Passifloraceae,species
Podocalyx,plants,,Podocalyx,Picrodendraceae,genus
Annona foetida,plants,Annona foetida,Annona,Annonaceae,species
Piper tuberculatum,plants,Piper tuberculatum,Piper,Piperaceae,species
Serjania,plants,,Serjania,Sapindaceae,genus
Abolboda grandis,plants,Abolboda grandis,Abolboda,Xyridaceae,species
Taralea oppositifolia,plants,Taralea oppositifolia,Taralea,Fabaceae,species
Pera glabrata,plants,Pera glabrata,Pera,Peraceae,species
Guarea gomma,plants,Guarea gomma,Guarea,Meliaceae,species
Scleronema praecox,plants,Scleronema praecox,Scleronema,Malvaceae,species
Pelekium scabrosulum,plants,Pelekium scabrosulum,Pelekium,Thuidiaceae,species
Oxandra euneura,plants,Oxandra euneura,Oxandra,Annonaceae,species
Loganiaceae,plants,,,Loganiaceae,family
Ceratophyllum,plants,,Ceratophyllum,Ceratophyllaceae,genus
Byrsonima melanocarpa,plants,Byrsonima melanocarpa,Byrsonima,Malpighiaceae,species
Psychotria lupulina,plants,Psychotria lupulina,Psychotria,Rubiaceae,species
Eryngium foetidum,plants,Eryngium foetidum,Eryngium,Apiaceae,species
Protium stevensonii,plants,Protium stevensonii,Protium,Burseraceae,species
Moutabea aculeata,plants,Moutabea aculeata,Moutabea,Polygalaceae,species
Senna,plants,,Senna,Fabaceae,genus
Anthurium atropurpureum,plants,Anthurium atropurpureum,Anthurium,Araceae,species
Bredemeyera lucida,plants,Bredemeyera lucida,Bredemeyera,Polygalaceae,species
Nectandra longifolia,plants,Nectandra longifolia,Nectandra,Lauraceae,species
Zygia cataractae,plants,Zygia cataractae,Zygia,Fabaceae,species
Chaunochiton angustifolium,plants,Chaunochiton angustifolium,Chaunochiton,Aptandraceae,species
Psidium acutangulum,plants,Psidium acutangulum,Psidium,Myrtaceae,species
Piper brasiliense,plants,Piper brasiliense,Piper,Piperaceae,species
Luehea,plants,,Luehea,Malvaceae,genus
Aechmea,plants,,Aechmea,Bromeliaceae,genus
Syrrhopodon flexifolius,plants,Syrrhopodon flexifolius,Syrrhopodon,Calymperaceae,species
Palicourea barraensis,plants,Palicourea barraensis,Palicourea,Rubiaceae,species
Campyloneurum,plants,,Campyloneurum,Polypodiaceae,genus
Sacciolepis,plants,,Sacciolepis,Poaceae,genus
Lycianthes,plants,,Lycianthes,Solanaceae,genus
Exellodendron barbatum,plants,Exellodendron barbatum,Exellodendron,Chrysobalanaceae,species
Dulacia,plants,,Dulacia,Olacaceae,genus
Passiflora coccinea,plants,Passiflora coccinea,Passiflora,Passifloraceae,species
Trichomanes hostmannianum,plants,Trichomanes hostmannianum,Trichomanes,Hymenophyllaceae,species
Didymopanax morototoni,plants,Didymopanax morototoni,Didymopanax,Araliaceae,species
Ticorea,plants,,Ticorea,Rutaceae,genus
Isopterygium,plants,,Isopterygium,Pylaisiadelphaceae,genus
Machaerium macrophyllum,plants,Machaerium macrophyllum,Machaerium,Fabaceae,species
Byrsonima laevis,plants,Byrsonima laevis,Byrsonima,Malpighiaceae,species
Clathrotropis,plants,,Clathrotropis,Fabaceae,genus
Asplenium stuebelianum,plants,Asplenium stuebelianum,Asplenium,Aspleniaceae,species
Geonoma aspidiifolia,plants,Geonoma aspidiifolia,Geonoma,Arecaceae,species
Minquartia guianensis,plants,Minquartia guianensis,Minquartia,Coulaceae,species
Philodendron wittianum,plants,Philodendron wittianum,Philodendron,Araceae,species
Fissidens hornschuchii,plants,Fissidens hornschuchii,Fissidens,Fissidentaceae,species
Condylocarpon,plants,,Condylocarpon,Apocynaceae,genus
Hiraea,plants,,Hiraea,Malpighiaceae,genus
Petrea volubilis,plants,Petrea volubilis,Petrea,Verbenaceae,species
Passiflora nitida,plants,Passiflora nitida,Passiflora,Passifloraceae,species
Bazzania pallidevirens,plants,Bazzania pallidevirens,Bazzania,Lepidoziaceae,species
Capsicum chinense,plants,Capsicum chinense,Capsicum,Solanaceae,species
Olax,plants,,Olax,Olacaceae,genus
Strychnos guianensis,plants,Strychnos guianensis,Strychnos,Loganiaceae,species
Anomospermum,plants,,Anomospermum,Menispermaceae,genus
Licania polita,plants,Licania polita,Licania,Chrysobalanaceae,species
Sacciolepis angustissima,plants,Sacciolepis angustissima,Sacciolepis,Poaceae,species
Clavija elliptica,plants,Clavija elliptica,Clavija,Primulaceae,species
Passifloraceae,plants,,,Passifloraceae,family
Symbiezidium,plants,,Symbiezidium,Lejeuneaceae,genus
Trichanthecium polycomum,plants,Trichanthecium polycomum,Trichanthecium,Poaceae,species
Eschweilera coriacea,plants,Eschweilera coriacea,Eschweilera,Lecythidaceae,species
Pouteria reticulata,plants,Pouteria reticulata,Pouteria,Sapotaceae,species
Conceveiba martiana,plants,Conceveiba martiana,Conceveiba,Euphorbiaceae,species
Calymperaceae,plants,,,Calymperaceae,family
Ecclinusa lanceolata,plants,Ecclinusa lanceolata,Ecclinusa,Sapotaceae,species
Cedrelinga,plants,,Cedrelinga,Fabaceae,genus
Psidium guineense,plants,Psidium guineense,Psidium,Myrtaceae,species
Ampelocera,plants,,Ampelocera,Cannabaceae,genus
Stigmaphyllon sinuatum,plants,Stigmaphyllon sinuatum,Stigmaphyllon,Malpighiaceae,species
Siparunaceae,plants,,,Siparunaceae,family
Brosimum guianense,plants,Brosimum guianense,Brosimum,Moraceae,species
Aiouea,plants,,Aiouea,Lauraceae,genus
Miconia ampla,plants,Miconia ampla,Miconia,Melastomataceae,species
Asteraceae,plants,,,Asteraceae,family
Pouteria eugeniifolia,plants,Pouteria eugeniifolia,Pouteria,Sapotaceae,species
Warszewiczia schwackei,plants,Warszewiczia schwackei,Warszewiczia,Rubiaceae,species
Marsileaceae,plants,,,Marsileaceae,family
Styrax macrophyllus,plants,Styrax macrophyllus,Styrax,Styracaceae,species
Hyptis,plants,,Hyptis,Lamiaceae,genus
Laetia procera,plants,Laetia procera,Laetia,Salicaceae,species
Dryopteridaceae,plants,,,Dryopteridaceae,family
Cyperaceae,plants,,,Cyperaceae,family
Miconia dentata,plants,Miconia dentata,Miconia,Melastomataceae,species
Lantana,plants,,Lantana,Verbenaceae,genus
Rhodostemonodaphne crenaticupula,plants,Rhodostemonodaphne crenaticupula,Rhodostemonodaphne,Lauraceae,species
Phlebodium,plants,,Phlebodium,Polypodiaceae,genus
Trischidium racemulosum,plants,Trischidium racemulosum,Trischidium,Fabaceae,species
Kutchubaea sericantha,plants,Kutchubaea sericantha,Kutchubaea,Rubiaceae,species
Aciotis purpurascens,plants,Aciotis purpurascens,Aciotis,Melastomataceae,species
Conchocarpus,plants,,Conchocarpus,Rutaceae,genus
Senna tapajozensis,plants,Senna tapajozensis,Senna,Fabaceae,species
Vochysiaceae,plants,,,Vochysiaceae,family
Crepinella,plants,,Crepinella,Araliaceae,genus
Coussapoa orthoneura,plants,Coussapoa orthoneura,Coussapoa,Urticaceae,species
Gustavia,plants,,Gustavia,Lecythidaceae,genus
Apocynaceae,plants,,,Apocynaceae,family
Siparuna,plants,,Siparuna,Siparunaceae,genus
Vatairea,plants,,Vatairea,Fabaceae,genus
Smilax schomburgkiana,plants,Smilax schomburgkiana,Smilax,Smilacaceae,species
Xyridaceae,plants,,,Xyridaceae,family
Geophila repens,plants,Geophila repens,Geophila,Rubiaceae,species
Curtia tenuifolia,plants,Curtia tenuifolia,Curtia,Gentianaceae,species
Ormosia,plants,,Ormosia,Fabaceae,genus
Cosmibuena grandiflora,plants,Cosmibuena grandiflora,Cosmibuena,Rubiaceae,species
Bactris tomentosa subsp tomentosa,plants,Bactris tomentosa subsp tomentosa,Bactris,Arecaceae,species
Ficus caballina,plants,Ficus caballina,Ficus,Moraceae,species
Irenodendron,plants,,Irenodendron,Salicaceae,genus
Protium apiculatum,plants,Protium apiculatum,Protium,Burseraceae,species
Scleronema,plants,,Scleronema,Malvaceae,genus
Phyllodrepaniaceae,plants,,,Phyllodrepaniaceae,family
Mouriri nigra,plants,Mouriri nigra,Mouriri,Melastomataceae,species
Voyria,plants,,Voyria,Gentianaceae,genus
Pourouma velutina,plants,Pourouma velutina,Pourouma,Urticaceae,species
Eschweilera atropetiolata,plants,Eschweilera atropetiolata,Eschweilera,Lecythidaceae,species
Sandwithia guyanensis,plants,Sandwithia guyanensis,Sandwithia,Euphorbiaceae,species
Drymonia coccinea,plants,Drymonia coccinea,Drymonia,Gesneriaceae,species
Couepia,plants,,Couepia,Chrysobalanaceae,genus
Eleusine,plants,,Eleusine,Poaceae,genus
Guarea kunthiana,plants,Guarea kunthiana,Guarea,Meliaceae,species
Duguetia,plants,,Duguetia,Annonaceae,genus
Protium glabrescens,plants,Protium glabrescens,Protium,Burseraceae,species
Guarea macrophylla,plants,Guarea macrophylla,Guarea,Meliaceae,species
Abuta rufescens,plants,Abuta rufescens,Abuta,Menispermaceae,species
Couepia guianensis,plants,Couepia guianensis,Couepia,Chrysobalanaceae,species
Pourouma cecropiifolia,plants,Pourouma cecropiifolia,Pourouma,Urticaceae,species
Epidendrum strobiliferum,plants,Epidendrum strobiliferum,Epidendrum,Orchidaceae,species
Faramea multiflora,plants,Faramea multiflora,Faramea,Rubiaceae,species
Hirtella gracilipes,plants,Hirtella gracilipes,Hirtella,Chrysobalanaceae,species
Coussapoa trinervia,plants,Coussapoa trinervia,Coussapoa,Urticaceae,species
Nautilocalyx fasciculatus,plants,Nautilocalyx fasciculatus,Nautilocalyx,Gesneriaceae,species
Vesicularia vesicularis,plants,Vesicularia vesicularis,Vesicularia,Hypnaceae,species
Adenocalymma racemosum,plants,Adenocalymma racemosum,Adenocalymma,Bignoniaceae,species
Heisteria scandens,plants,Heisteria scandens,Heisteria,Erythropalaceae,species
Polybotrya osmundacea,plants,Polybotrya osmundacea,Polybotrya,Dryopteridaceae,species
Machaerium hoehneanum,plants,Machaerium hoehneanum,Machaerium,Fabaceae,species
Andropogon selloanus,plants,Andropogon selloanus,Andropogon,Poaceae,species
Blepharandra cachimbensis,plants,Blepharandra cachimbensis,Blepharandra,Malpighiaceae,species
Cordia sagotii,plants,Cordia sagotii,Cordia,Cordiaceae,species
Naucleopsis krukovii,plants,Naucleopsis krukovii,Naucleopsis,Moraceae,species
Ruellia,plants,,Ruellia,Acanthaceae,genus
Solanum subinerme,plants,Solanum subinerme,Solanum,Solanaceae,species
Malanea glabra,plants,Malanea glabra,Malanea,Rubiaceae,species
Asclepias,plants,,Asclepias,Apocynaceae,genus
Swartzia ulei,plants,Swartzia ulei,Swartzia,Fabaceae,species
Pogonophora schomburgkiana,plants,Pogonophora schomburgkiana,Pogonophora,Peraceae,species
Psychotria iodotricha,plants,Psychotria iodotricha,Psychotria,Rubiaceae,species
Aniba burchellii,plants,Aniba burchellii,Aniba,Lauraceae,species
Hirtella,plants,,Hirtella,Chrysobalanaceae,genus
Securidaca retusa,plants,Securidaca retusa,Securidaca,Polygalaceae,species
Hevea benthamiana,plants,Hevea benthamiana,Hevea,Euphorbiaceae,species
Solanum,plants,,Solanum,Solanaceae,genus
Plagiochila disticha,plants,Plagiochila disticha,Plagiochila,Plagiochilaceae,species
Caraipa densifolia,plants,Caraipa densifolia,Caraipa,Calophyllaceae,species
Coccoloba,plants,,Coccoloba,Polygonaceae,genus
Hirtella hispidula,plants,Hirtella hispidula,Hirtella,Chrysobalanaceae,species
Nyctaginaceae,plants,,,Nyctaginaceae,family
Monotagma plurispicatum,plants,Monotagma plurispicatum,Monotagma,Marantaceae,species
Perama dichotoma,plants,Perama dichotoma,Perama,Rubiaceae,species
Banisteriopsis,plants,,Banisteriopsis,Malpighiaceae,genus
Calymperes lonchophyllum,plants,Calymperes lonchophyllum,Calymperes,Calymperaceae,species
Guarea scabra,plants,Guarea scabra,Guarea,Meliaceae,species
Coccoloba densifrons,plants,Coccoloba densifrons,Coccoloba,Polygonaceae,species
Maripa scandens,plants,Maripa scandens,Maripa,Convolvulaceae,species
Lemna,plants,,Lemna,Araceae,genus
Clidemia capitellata,plants,Clidemia capitellata,Clidemia,Melastomataceae,species
Matayba purgans,plants,Matayba purgans,Matayba,Sapindaceae,species
Fissidentaceae,plants,,,Fissidentaceae,family
Protium nodulosum,plants,Protium nodulosum,Protium,Burseraceae,species
Mikania,plants,,Mikania,Asteraceae,genus
Bowdichia,plants,,Bowdichia,Fabaceae,genus
Dioclea,plants,,Dioclea,Fabaceae,genus
Miconia papillosperma,plants,Miconia papillosperma,Miconia,Melastomataceae,species
Callicostella pallida,plants,Callicostella pallida,Callicostella,Pilotrichaceae,species
Pilotrichum bipinnatum,plants,Pilotrichum bipinnatum,Pilotrichum,Pilotrichaceae,species
Waltheria,plants,,Waltheria,Malvaceae,genus
Chrysochlamys,plants,,Chrysochlamys,Clusiaceae,genus
Pouteria,plants,,Pouteria,Sapotaceae,genus
Rhynchospora holoschoenoides,plants,Rhynchospora holoschoenoides,Rhynchospora,Cyperaceae,species
Trichanthecium micranthum,plants,Trichanthecium micranthum,Trichanthecium,Poaceae,species
Paspalum paniculatum,plants,Paspalum paniculatum,Paspalum,Poaceae,species
Fissidens inaequalis,plants,Fissidens inaequalis,Fissidens,Fissidentaceae,species
Caryocar glabrum,plants,Caryocar glabrum,Caryocar,Caryocaraceae,species
Fimbristylis dichotoma,plants,Fimbristylis dichotoma,Fimbristylis,Cyperaceae,species
Sauvagesia erecta,plants,Sauvagesia erecta,Sauvagesia,Ochnaceae,species
Crossomitrium,plants,,Crossomitrium,Hookeriaceae,genus
Chamaecrista nictitans,plants,Chamaecrista nictitans,Chamaecrista,Fabaceae,species
Hirtella physophora,plants,Hirtella physophora,Hirtella,Chrysobalanaceae,species
Coutarea hexandra,plants,Coutarea hexandra,Coutarea,Rubiaceae,species
Angostura,plants,,Angostura,Rutaceae,genus
Bowdichia virgilioides,plants,Bowdichia virgilioides,Bowdichia,Fabaceae,species
Fridericia trailii,plants,Fridericia trailii,Fridericia,Bignoniaceae,species
Endlicheria anomala,plants,Endlicheria anomala,Endlicheria,Lauraceae,species
Heteropterys,plants,,Heteropterys,Malpighiaceae,genus
Cabomba,plants,,Cabomba,Cabombaceae,genus
Protium sagotianum,plants,Protium sagotianum,Protium,Burseraceae,species
Inga cayennensis,plants,Inga cayennensis,Inga,Fabaceae,species
Annona ambotay,plants,Annona ambotay,Annona,Annonaceae,species
Capirona macrophylla,plants,Capirona macrophylla,Capirona,Rubiaceae,species
Socratea exorrhiza,plants,Socratea exorrhiza,Socratea,Arecaceae,species
Lueheopsis rosea,plants,Lueheopsis rosea,Lueheopsis,Malvaceae,species
Endlicheria szyszylowiczii,plants,Endlicheria szyszylowiczii,Endlicheria,Lauraceae,species
Malvaceae,plants,,,Malvaceae,family
Octoblepharum cocuiense,plants,Octoblepharum cocuiense,Octoblepharum,Octoblepharaceae,species
Byrsonima formosa,plants,Byrsonima formosa,Byrsonima,Malpighiaceae,species
Anemopaegma chrysoleucum,plants,Anemopaegma chrysoleucum,Anemopaegma,Bignoniaceae,species
Hymenachne,plants,,Hymenachne,Poaceae,genus
Ficus maxima,plants,Ficus maxima,Ficus,Moraceae,species
Salacia,plants,,Salacia,Celastraceae,genus
Entada polystachya,plants,Entada polystachya,Entada,Fabaceae,species
Olacaceae,plants,,,Olacaceae,family
Monstera obliqua,plants,Monstera obliqua,Monstera,Araceae,species
Ambelania,plants,,Ambelania,Apocynaceae,genus
Protium gallosum,plants,Protium gallosum,Protium,Burseraceae,species
Trigynaea duckei,plants,Trigynaea duckei,Trigynaea,Annonaceae,species
Marcgravia flagellaris,plants,Marcgravia flagellaris,Marcgravia,Marcgraviaceae,species
Palicourea guianensis,plants,Palicourea guianensis,Palicourea,Rubiaceae,species
Oryza latifolia,plants,Oryza latifolia,Oryza,Poaceae,species
Urena,plants,,Urena,Malvaceae,genus
Agonandra silvatica,plants,Agonandra silvatica,Agonandra,Opiliaceae,species
Streptogyna,plants,,Streptogyna,Poaceae,genus
Petrea,plants,,Petrea,Verbenaceae,genus
Serjania membranacea,plants,Serjania membranacea,Serjania,Sapindaceae,species
Sagittaria guayanensis,plants,Sagittaria guayanensis,Sagittaria,Alismataceae,species
Croton,plants,,Croton,Euphorbiaceae,genus
Siphanthera todziae,plants,Siphanthera todziae,Siphanthera,Melastomataceae,species
Miconia secunfrancavillana,plants,Miconia secunfrancavillana,Miconia,Melastomataceae,species
Eschweilera parvifolia,plants,Eschweilera parvifolia,Eschweilera,Lecythidaceae,species
Amphilophium,plants,,Amphilophium,Bignoniaceae,genus
Lecythis zabucajo,plants,Lecythis zabucajo,Lecythis,Lecythidaceae,species
Chiococca,plants,,Chiococca,Rubiaceae,genus
Trattinnickia rhoifolia,plants,Trattinnickia rhoifolia,Trattinnickia,Burseraceae,species
Hevea brasiliensis,plants,Hevea brasiliensis,Hevea,Euphorbiaceae,species
Alibertia,plants,,Alibertia,Rubiaceae,genus
Scleria macrophylla,plants,Scleria macrophylla,Scleria,Cyperaceae,species
Desmoscelis,plants,,Desmoscelis,Melastomataceae,genus
Adiantum venustum,plants,Adiantum venustum,Adiantum,Pteridaceae,species
Oryctanthus,plants,,Oryctanthus,Loranthaceae,genus
Davilla,plants,,Davilla,Dilleniaceae,genus
Apteria,plants,,Apteria,Burmanniaceae,genus
Swartzia lamellata,plants,Swartzia lamellata,Swartzia,Fabaceae,species
Lacmellea microcarpa,plants,Lacmellea microcarpa,Lacmellea,Apocynaceae,species
Fuirena,plants,,Fuirena,Cyperaceae,genus
Senegalia altiscandens,plants,Senegalia altiscandens,Senegalia,Fabaceae,species
Leucobryaceae,plants,,,Leucobryaceae,family
Salacia caloneura,plants,Salacia caloneura,Salacia,Celastraceae,species
Protium decandrum,plants,Protium decandrum,Protium,Burseraceae,species
Utricularia longeciliata,plants,Utricularia longeciliata,Utricularia,Lentibulariaceae,species
Dicorynia paraensis,plants,Dicorynia paraensis,Dicorynia,Fabaceae,species
Bertholletia,plants,,Bertholletia,Lecythidaceae,genus
Vochysia,plants,,Vochysia,Vochysiaceae,genus
Spermacoce verticillata,plants,Spermacoce verticillata,Spermacoce,Rubiaceae,species
Pteris propinqua,plants,Pteris propinqua,Pteris,Pteridaceae,species
Odontosoria,plants,,Odontosoria,Lindsaeaceae,genus
Adenocalymma flaviflorum,plants,Adenocalymma flaviflorum,Adenocalymma,Bignoniaceae,species
Callichlamys,plants,,Callichlamys,Bignoniaceae,genus
Eugenia egensis,plants,Eugenia egensis,Eugenia,Myrtaceae,species
Lepidopilum surinamense,plants,Lepidopilum surinamense,Lepidopilum,Pilotrichaceae,species
Verdoornianthus,plants,,Verdoornianthus,Lejeuneaceae,genus
Dalbergia gracilis,plants,Dalbergia gracilis,Dalbergia,Fabaceae,species
Protium grandifolium,plants,Protium grandifolium,Protium,Burseraceae,species
Philodendron hylaeae,plants,Philodendron hylaeae,Philodendron,Araceae,species
Emmotum nitens,plants,Emmotum nitens,Emmotum,Metteniusaceae,species
Hebeclinium,plants,,Hebeclinium,Asteraceae,genus
Mouriri plasschaertii,plants,Mouriri plasschaertii,Mouriri,Melastomataceae,species
Philodendron pedatum,plants,Philodendron pedatum,Philodendron,Araceae,species
Rinorea,plants,,Rinorea,Violaceae,genus
Siparuna guianensis,plants,Siparuna guianensis,Siparuna,Siparunaceae,species
Zelometeorium patulum,plants,Zelometeorium patulum,Zelometeorium,Brachytheciaceae,species
