species_id,name,taxa,scientificname,species_url,commonname,redlist,family,family_common,taxonomic_level,sequenceid,genus,created_at
13b3f742-5477-422c-b8f3-00c77ffdc995,Tringa melanoleuca,birds,Tringa melanoleuca,https://lh3.googleusercontent.com/Hm18cxC6YhMsX6vnxTGotwzl0syUhv-h9InXS5O6sdNKFRcp6moDE0qDRxqe2u0ZXiifiRhQkruHQ_db_UkKQw,Greater Yellowlegs,LC,Scolopacidae,Sandpipers,species,290,Tringa,2024-01-24 17:18:54.447684+00
433b9314-a10d-4a63-a51a-74f5e4c17433,Geotrygon montana,birds,Geotrygon montana,NULL,Ruddy Quail-Dove,NULL,Columbidae,Pigeons,species,NULL,Geotrygon,2024-01-31 16:46:00.000045+00
2a5d4dbe-075c-495f-bae1-fbbec7117bdb,Nyctibius aethereus,birds,Nyctibius aethereus,NULL,Long-Tailed Potoo,NULL,Nyctibiidae,Potoos,species,NULL,Nyctibius,2024-01-31 16:46:00.000045+00
c309d683-90d6-4e0c-9258-39d741f3b3ea,Pharomachrus,birds,,NULL,,NULL,Trogonidae,Trogons,genus,NULL,Pharomachrus,2024-01-31 16:46:00.000045+00
22fab0c7-fc02-42ab-a706-f51133417379,Lanio,birds,,NULL,,NULL,Thraupidae,Tanagers,genus,NULL,Lanio,2024-01-31 16:46:00.000045+00
5edb5d3e-0668-4ed3-b075-1fa034551406,Neochen,birds,,NULL,,NULL,,,genus,NULL,Neochen,2024-01-31 16:46:00.692574+00
783e7765-74e6-433b-bd67-fa7d929f5ee5,Cotinga cotinga,birds,Cotinga cotinga,NULL,Purple-Breasted Cotinga,NULL,Cotingidae,Cotingas,species,NULL,Cotinga,2024-01-31 16:46:00.000045+00
9b5010ba-315e-48ad-9b0b-fe9e1d7a722b,Phoenicircus,birds,,NULL,,NULL,Cotingidae,Cotingas,genus,NULL,Phoenicircus,2024-01-31 16:46:00.000045+00
f30f7c7f-bcdb-4394-a952-c98b2c083a0d,Vanellus,birds,,,,,Charadriidae,Plovers ,genus,84,Vanellus,2024-01-24 17:18:54.447684+00
f4df5f8b-cd7e-42c0-a8b6-4bf0f1f8cff8,Thryothorus coraya,birds,Thryothorus coraya,NULL,Coraya Wren,NULL,,,species,NULL,Thryothorus,2024-01-31 16:46:00.692574+00
8670dbc3-29b8-4425-b4fe-705c8ce44876,Neopipo cinnamomea,birds,Neopipo cinnamomea,NULL,Cinnamon Tyrant-Manakin,NULL,Tyrannidae,Tyrant Flycatchers,species,NULL,Neopipo,2024-01-31 16:46:00.000045+00
9611926f-6796-48f3-a40d-7993765d9308,Cathartes melambrotus,birds,Cathartes melambrotus,NULL,Greater Yellow-Headed Vulture,NULL,Cathartidae,New World Vultures,species,NULL,Cathartes,2024-01-31 16:46:00.000045+00
23903ca1-456f-4fc9-b0ec-a5341a298335,Dendroplex picus,birds,Dendroplex picus,NULL,Straight-Billed Woodcreeper,NULL,Furnariidae,Ovenbirds And Allies,species,NULL,Dendroplex,2024-01-31 16:46:00.000045+00
8c3726c6-b59b-4ece-8c49-80758f298f23,Trogon viridis,birds,Trogon viridis,NULL,White-Tailed Trogon,NULL,Trogonidae,Trogons,species,NULL,Trogon,2024-01-31 16:46:00.000045+00
a61f0115-2fd5-4d6a-ae20-8b18787e7891,Hydropsalis maculicaudus,birds,Hydropsalis maculicaudus,NULL,,NULL,Caprimulgidae,Nightjars,species,NULL,Hydropsalis,2024-01-31 16:46:00.000045+00
54b80938-c706-44a6-96b6-07728bf2aa0a,Leistes militaris,birds,Leistes militaris,NULL,Red-Breasted Blackbird,NULL,Icteridae,American Blackbirds,species,NULL,Leistes,2024-01-31 16:46:00.692574+00
845f6ff4-1a4a-40ec-8729-c51165ef9e74,Pygochelidon cyanoleuca,birds,Pygochelidon cyanoleuca,NULL,Blue-And-White Swallow,NULL,Hirundinidae,Martins,species,NULL,Pygochelidon,2024-01-31 16:46:00.000045+00
f2f1f534-c9d5-4105-8e45-db30bd13d2ca,Thamnophilus amazonicus,birds,Thamnophilus amazonicus,NULL,Amazonian Antshrike,NULL,Thamnophilidae,Typical Antbirds,species,NULL,Thamnophilus,2024-01-31 16:46:00.000045+00
db427224-0fa7-46f7-9bf6-726c4b95acf8,Tunchiornis,birds,,NULL,,NULL,Vireonidae,Vireos,genus,NULL,Tunchiornis,2024-01-31 16:46:00.000045+00
0b9a87b5-08f7-4753-a7cc-99141a4b6e83,Myiodynastes maculatus,birds,Myiodynastes maculatus,NULL,Streaked Flycatcher,NULL,Tyrannidae,Tyrant Flycatchers,species,NULL,Myiodynastes,2024-01-31 16:46:00.000045+00
8205b147-dc76-45a9-8cd0-6a859cc38270,Himantopus mexicanus,birds,Himantopus mexicanus,NULL,Black-Necked Stilt,NULL,Recurvirostridae,Stilts,species,NULL,Himantopus,2024-01-31 16:46:00.000045+00
99df99b4-7a51-44c9-acc4-ec97635c4334,Tryngites subruficollis,birds,Tryngites subruficollis,https://lh3.googleusercontent.com/vVgpfmV2Hd8ZFLVUxge-q6APlXypaVwwQpCHiTeRYVJ19dG06n3K9buaBJdB0JEA7mxjw1csys4gH9pjcnm-gBGe,Buff-Breasted Sandpiper,NULL,,NULL,species,NULL,Tryngites,2024-01-24 17:18:54.447684+00
b535218d-7424-4de3-8067-166f8e4ad3cb,Myiozetetes cayanensis,birds,Myiozetetes cayanensis,NULL,Rusty-Margined Flycatcher,NULL,Tyrannidae,Tyrant Flycatchers,species,NULL,Myiozetetes,2024-01-31 16:46:00.000045+00
4727fb03-e3c7-4f8b-812d-b1b9f28c037a,Rhytipterna simplex,birds,Rhytipterna simplex,NULL,Greyish Mourner,NULL,Tyrannidae,Tyrant Flycatchers,species,NULL,Rhytipterna,2024-01-31 16:46:00.000045+00
9451b095-b4a2-4ec5-b7d7-4dada694b14b,Patagioenas,birds,,,,,Columbidae,Pigeons,genus,330,Patagioenas,2024-01-24 17:18:54.447684+00
